dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.3333333333333333,2,10,56860.50868334427,990051.1419984425,32.1101064112,58472.00693540343,55109.706618425844,729084.0
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.5,2,10,56721.34098110732,1663178.785058236,32.1941104281,58563.47605532362,54334.58715693632,729050.0
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.6666666666666666,2,10,57005.221883164755,1679424.0632995958,32.7477571415,58914.19204431998,53902.63373128054,729020.2
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.8,2,10,56732.40852884853,1602510.6315721716,33.931837074099995,58834.51850075306,54614.068021734645,729022.7
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.8888888888888888,2,10,56184.623120598306,2441600.1334215817,34.6649479098,57799.03749146927,52825.49083977351,729007.3
foursquare,FDP_PF,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,2.4438321761375694,1.5811388300841896e-07,,956.9665572,,,0.9411764705882353,2,10,54340.217872099194,1908315.514239983,35.21689639539999,56842.48578283821,52026.503626645324,729000.7
uber,FDP_PF,FL,20,564516,1000,10,0.01,2,2.357684110647016e-09,2.4438321761375694,1.178842055323508e-08,,1256.426663,,,0.058823529411764705,2,10,448839.6057006746,24346106.485598043,200.2889944488,454381.310604776,437686.1670708432,866622.8
uber,FDP_PF,FL,20,564516,1000,10,0.01,2,2.357684110647016e-09,2.4438321761375694,1.178842055323508e-08,,1256.426663,,,0.1111111111111111,2,10,456030.7387572117,18164268.30803286,201.4126848882,462458.8880492748,449527.1212919921,866562.5
uber,FDP_PF,FL,20,564516,1000,10,0.01,2,2.357684110647016e-09,2.4438321761375694,1.178842055323508e-08,,1256.426663,,,0.2,2,10,458268.6236493726,5712681.7261350965,198.0578986956,461746.7944050442,452965.1116642583,866484.4
uber,FDP_PF,FL,20,564516,1000,10,0.01,2,2.357684110647016e-09,2.4438321761375694,1.178842055323508e-08,,1256.426663,,,0.3333333333333333,2,10,457197.18245765346,3786392.5039760894,196.3471542578,460476.43277029495,452743.3434049709,866456.7
