dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
flickr,FDP_PF,MC,4,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,96741.2,864667.76,38.04294923,97629,94895,88929.4
flickr,FDP_PF,MC,16,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,95112.5,3148256.45,38.23468715,97629,92482,355829.7
flickr,FDP_PF,MC,64,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,81044,10957973.4,39.4526918,86501,75261,1424105.3
flickr,FDP_PF,MC,256,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,59659.8,27962879.76,42.32085787,69322,52358,5697530.2
flickr,FDP_PF,MC,1024,242364,2000,10,0.01,2,8.38E-09,2.443832176,4.19E-08,,,,,0.8,2,10,32876.1,57792639.29,58.71682639,44199,22281,22788883.8
foursquare,CDP,FL,1,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58538.04917,212211.9569,13.57004365,58985.58612,57486.94649,334827.7
foursquare,CDP,FL,4,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58494.01275,65262.82653,13.83635856,58816.63002,58004.32733,1342176.9
foursquare,CDP,FL,16,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58328.71511,231761.1617,14.35455167,58972.35988,57349.99106,5391107.9
foursquare,CDP,FL,64,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58587.19132,215441.2318,14.83292771,59563.86941,57948.1215,19476899.7
foursquare,CDP,FL,256,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58223.25736,200590.0376,16.01578134,58736.40302,57436.71518,60214018.9
foursquare,CDP,FL,1024,100000,1132,10,0.01,2,3.16E-08,3.141574641,3.16E-07,,956.9665572,permutation,,,,10,58509.58583,329167.6579,19.80996096,59595.34441,57670.25051,188353172.6
foursquare,FDP,FL,1,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,56885.27655,1683278.901,13.46252419,59121.37301,54998.08437,336614.1
foursquare,FDP,FL,4,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,56935.77755,354453.5424,13.8286306,57963.88441,55930.51307,1353211.2
foursquare,FDP,FL,16,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,54617.95554,470063.4652,14.1994502,55521.77151,52989.46043,5459629
foursquare,FDP,FL,64,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,52891.19081,2843062.248,15.53482851,55338.92545,49605.86073,21922132.4
foursquare,FDP,FL,256,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,49498.68684,5423961.68,19.09287712,53296.96756,46676.1794,87798312
foursquare,FDP,FL,1024,100000,1132,10,0.01,2,3.16E-08,0.26682691,1.40E-10,3.214455275,956.9665572,,laplace,,,10,48365.11088,12122618.88,33.68773961,52744.80378,41084.02758,351319045.6
foursquare,FDP_Lazy,FL,1,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,57375.3852,374594.7621,16.92298066,58309.42329,56256.53576,80883.9
foursquare,FDP_Lazy,FL,4,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,56551.4944,1137586.77,24.20859709,57920.09256,54670.54229,316039.3
