dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,16,1.69E-09,4.816679059,8.45E-09,,,,,0.8,2,10,109779.7,324319.01,145.3685129,110626,108889,1069715
DBLP,FDP_PF,MC,20,704738,2675,10,0.01,20,1.69E-09,5.152297938,8.45E-09,,,,,0.8,2,10,109925.1,528433.69,145.1576237,110626,108557,1069718.6
flickr,CDP,MC,20,242364,2000,10,0.01,0.05,8.38E-09,0.406299484,8.38E-08,,,permutation,,,,10,93887.8,3896981.56,20.89978059,96785,91297,3814451.2
flickr,CDP,MC,20,242364,2000,10,0.01,0.1,8.38E-09,0.695652394,8.38E-08,,,permutation,,,,10,96793,842945.4,20.63750016,97629,94946,3814447.1
flickr,CDP,MC,20,242364,2000,10,0.01,0.25,8.38E-09,1.261726123,8.38E-08,,,permutation,,,,10,97340.6,176175.64,20.50461084,97629,96178,3814445
flickr,CDP,MC,20,242364,2000,10,0.01,0.5,8.38E-09,1.812723128,8.38E-08,,,permutation,,,,10,97345.4,125013.64,20.96939272,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,1,8.38E-09,2.443832176,8.38E-08,,,permutation,,,,10,97212.3,143577.81,21.20369631,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,2,8.38E-09,3.141574641,8.38E-08,,,permutation,,,,10,97212.3,143577.81,20.75192923,97629,96388,3.64 
flickr,CDP,MC,20,242364,2000,10,0.01,4,8.38E-09,3.915665758,8.38E-08,,,permutation,,,,10,97212.3,143577.81,20.81047115,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,8,8.38E-09,4.816679059,8.38E-08,,,permutation,,,,10,97212.3,143577.81,20.89260611,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,12,8.38E-09,5.451088634,8.38E-08,,,permutation,,,,10,97212.3,143577.81,20.75317257,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,16,8.38E-09,5.982179682,8.38E-08,,,permutation,,,,10,97212.3,143577.81,20.91026665,97629,96388,3814447
flickr,CDP,MC,20,242364,2000,10,0.01,20,8.38E-09,6.461320681,8.38E-08,,,permutation,,,,10,97212.3,143577.81,21.28625625,97629,96388,3814447
flickr,FDP,MC,20,242364,2000,10,0.01,0.05,8.38E-09,0.005672412,2.10E-11,172.6141854,,,laplace,,,10,16041.1,15413874.69,21.98614626,24322,12066,10573678.5
flickr,FDP,MC,20,242364,2000,10,0.01,0.1,8.38E-09,0.011305884,2.10E-11,86.36494774,,,laplace,,,10,17367.1,36944286.49,22.42505083,31679,12066,10570867.3
flickr,FDP,MC,20,242364,2000,10,0.01,0.25,8.38E-09,0.027977623,2.10E-11,34.61522011,,,laplace,,,10,34197,72397291.8,22.00386831,43200,17606,10565804.4
flickr,FDP,MC,20,242364,2000,10,0.01,0.5,8.38E-09,0.055030075,2.10E-11,17.36500616,,,laplace,,,10,48169.1,139714538.5,22.23873358,67096,20952,10587338.7
flickr,FDP,MC,20,242364,2000,10,0.01,1,8.38E-09,0.106579121,2.10E-11,8.739341104,,,laplace,,,10,64672,39916437.8,22.22950304,77386,55156,10600992.1
flickr,FDP,MC,20,242364,2000,10,0.01,2,8.38E-09,0.200746506,2.10E-11,4.425441089,,,laplace,,,10,77456.1,18756054.29,22.19397315,82800,70544,10.13 
flickr,FDP,MC,20,242364,2000,10,0.01,4,8.38E-09,0.361075278,2.10E-11,2.266529779,,,laplace,,,10,88511.6,7564472.64,22.07104772,92520,83885,10666210.7
flickr,FDP,MC,20,242364,2000,10,0.01,8,8.38E-09,0.607266319,2.10E-11,1.183714305,,,laplace,,,10,93330.9,1223608.69,22.25686141,94863,91872,10731645.1
flickr,FDP,MC,20,242364,2000,10,0.01,12,8.38E-09,0.792515868,2.10E-11,0.82032834,,,laplace,,,10,94743.2,2295687.76,22.31684365,96394,91872,10765731.5
flickr,FDP,MC,20,242364,2000,10,0.01,16,8.38E-09,0.940217604,2.10E-11,0.637150278,,,laplace,,,10,96216.5,1026705.25,21.8565559,97467,94863,10786310.3
