dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.5297058972368132,2.0582117983231447e-10,1.411986202190399,,,laplace,,4,10,88126.7,5121817.609999999,10.3747499132,91451.0,84236.0,1313735.0
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.5191233902825793,1.9545332189300013e-10,1.4489518594049386,,,laplace,,16,10,91267.6,3642883.2399999998,16.341323585100003,94470.0,88152.0,1352569.9
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.4828501206889459,1.6267543561280754e-10,1.5882340235811843,,,laplace,,64,10,93264.0,2783007.4,27.056158631699997,95534.0,90660.0,1411489.5
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.391940361295842,9.736336480915247e-11,2.0529468100299813,,,laplace,,256,10,89942.2,7480510.959999999,35.4770537611,93048.0,84024.0,1425311.2
flickr,FDP_Lazy,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,0.2600380184952742,3.736197593960345e-11,3.3140615216706313,,,laplace,,1024,10,83871.0,6657973.0,24.7304101132,87537.0,80358.0,1395789.0
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,3.141574641142074,8.381038442771844e-08,,,,,0.8,1,10,95072.5,1079835.65,23.842533324199998,97449.0,93636.0,440537.8
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,2.4438321761375694,4.190519221385922e-08,,,,,0.8,2,10,93855.7,2369092.61,41.5248828502,96336.0,91968.0,444831.7
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,1.8127231277571434,2.095259610692961e-08,,,,,0.8,4,10,88609.3,12362346.209999999,89.17363923649998,95261.0,83591.0,453472.5
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,1.5202954130380264,5.238149026732403e-09,,,,,0.8,8,10,87265.3,9900610.009999998,163.4743546503,92852.0,80309.0,470690.0
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,1.256719486623638,2.6190745133662013e-09,,,,,0.8,16,10,81918.8,13526248.960000003,332.89168533069994,87886.0,76675.0,505000.9
flickr,FDP_PF,MC,20,242364,2000,10,0.01,2,8.381038442771845e-09,1.0192457960117194,1.3095372566831007e-09,,,,,0.8,32,10,79429.4,16053038.64,624.7136806315,84319.0,72803.0,573536.4
foursquare,FDP_Lazy,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,0.6762138900482498,1.3857483173393422e-09,1.020532867458341,956.9665572,,laplace,,1,10,25304.248738497492,1004519.1519606449,4.007793586,26460.861524029606,23011.899733661,1194695.2
foursquare,FDP_Lazy,FL,20,100000,1132,10,0.01,2,3.162277660168379e-08,0.6704565190660327,1.3537147517844088e-09,1.0325369340834858,956.9665572,,laplace,,4,10,28750.579723827424,22591371.206667818,4.8542079109,42863.18610510586,26286.241955171932,1206171.2
